Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Column 1,Column 2
Jefferson County Democratic Central Cmte.,03/26/2026 to 04/25/2026,C6,2026-04-16 0:00:00,Jefferson County,,,,PO Box H,Boulder,MT,59632,,250,2,"Volunteer hall rental: 9 APR 2026, 6 MAY 2026",,PM,,,,N,,,,,,,,,
Jefferson County Democratic Central Cmte.,03/26/2026 to 04/25/2026,C6,2026-04-16 0:00:00,USPS,,,,126 S. Main St,Boulder,MT,59632,,78,2,PO Box Service Fee - Box 172,,PM,,,,N,,,,,,,,,
Jefferson County Democratic Central Cmte.,03/26/2026 to 04/25/2026,C6,2026-04-10 0:00:00,ActBlue,,,,PO Box 962017,Boston,MA,2196,,1.16,2,processing fees AB389757225,,PM,,,,N,,,,,,,,,
Jefferson County Democratic Central Cmte.,03/26/2026 to 04/25/2026,C6,2026-04-08 0:00:00,ActBlue,,,,PO Box 962017,Boston,MA,2196,,2.32,2,"processing fees AB389468735, AB389469077",,PM,,,,N,,,,,,,,,
Jefferson County Democratic Central Cmte.,03/26/2026 to 04/25/2026,C6,2026-04-07 0:00:00,ActBlue,,,,PO Box 962017,Boston,MA,2196,,3.93,2,Processing fees AB389405611,,PM,,,,N,,,,,,,,,
Jefferson County Democratic Central Cmte.,03/26/2026 to 04/25/2026,C6,2026-04-03 0:00:00,ActBlue,,,,PO Box 962017,Boston,MA,2196,,3.48,2,"processing fees AB389010014, AB389009235, AB389009138",,PM,,,,N,,,,,,,,,
Jefferson County Democratic Central Cmte.,03/26/2026 to 04/25/2026,C6,2026-04-01 0:00:00,ActBlue,,,,PO Box 962017,Boston,MA,2196,,2.08,2,processing fees AB388798763,,PM,,,,N,,,,,,,,,
Jefferson County Democratic Central Cmte.,03/26/2026 to 04/25/2026,C6,2026-03-31 0:00:00,ActBlue,,,,PO Box 962017,Boston,MA,2196,,3.93,2,processing fees AB388617066,,PM,,,,N,,,,,,,,,
Jefferson County Democratic Central Cmte.,01/02/2026 to 03/25/2026,C6,2026-03-01 0:00:00,ActBlue,,,,PO Box 962017,Boston,MA,2196,,0.45,2,ACTBlue processing/EFT fee for 6 FEB 2026 donation by Gail Waldby,,PM,,,,N,,,,,,,,,
Jefferson County Democratic Central Cmte.,01/02/2026 to 03/25/2026,C6,2026-02-01 0:00:00,ActBlue,,,,PO Box 962017,Boston,MA,2196,,0.45,2,ACTBLUE processing/ EFT fee for the 6 JAN 2026 donation by Gail Waldby.,,PM,,,,N,,,,,,,,,
Jefferson County Democratic Central Cmte.,01/02/2026 to 03/25/2026,C6,2026-01-14 0:00:00,Gold Junction Presents,,,,PO Box 1169,Whitehall,MT,59759,,200,2,Donation to Whitehall Food Bank,,PM,,,,N,,,,,,,,,
Jefferson County Democratic Central Cmte.,10/06/2025 to 01/01/2026,C6,2026-01-01 0:00:00,ActBlue,,,,PO Box 962017,Boston,MA,2196,,0.45,2,ActBlue Processing Fee on $6 donation from Gail Waldby,,PM,,,,N,,,,,,,,,
Jefferson County Democratic Central Cmte.,10/06/2025 to 01/01/2026,C6,2025-12-01 0:00:00,ActBlue,,,,PO Box 962017,Boston,MA,2196,,0.45,2,ActBlue Processing Fee - Gail Waldby contribution of $6.00,,GN,,,,N,,,,,,,,,
Jefferson County Democratic Central Cmte.,10/06/2025 to 01/01/2026,C6,2025-11-16 0:00:00,Jeffco Food Share,,,,PO Box 244,Boulder,MT,59632,,300,2,Donation,,PM,,,,N,,,,,,,,,
Jefferson County Democratic Central Cmte.,10/06/2025 to 01/01/2026,C6,2025-11-01 0:00:00,ActBlue,,,,PO Box 962017,Boston,MA,2196,,0.45,2,ActBlue Processing Fee - Gail Waldby contribution of $6.00,,GN,,,,N,,,,,,,,,
Jefferson County Democratic Central Cmte.,07/01/2025 to 10/05/2025,C6,2025-10-01 0:00:00,ActBlue,,,,PO Box 962017,Boston,MA,2196,,0.45,2,ActBlue Processing Fee on $6 donation from Gail Waldby,,GN,,,,N,,,,,,,,,
Jefferson County Republican Central Cmte.,03/26/2026 to 04/25/2026,C6,2026-03-28 0:00:00,Kleffner Ranch,,,,305 Highway 518,East Helena,MT,59635,,750,2,Facility Rental - Fall Festival 2026,,GN,,,,N,,,,,,,,,
Jefferson County Republican Central Cmte.,01/01/2026 to 03/25/2026,C6,2026-03-23 0:00:00,,Jim,,Buterbaugh,PO Box 83,Whithall,MT,59759,,319.75,2,Reimbursement for flags to be used at events,,GN,,,,N,,,,,,,,,
Jefferson County Republican Central Cmte.,01/01/2026 to 03/25/2026,C6,2026-03-23 0:00:00,O'Shea's Aqua Dipp,,,,6250 Apache Pine Rd,Helena,MT,59602,,1480,2,PURCHASE OF GUN FOR RAFFLE - drawing to be held at our fall event,,GN,,,,N,,,,,,,,,
Jefferson County Republican Central Cmte.,01/01/2026 to 03/25/2026,C6,2026-01-25 0:00:00,Montana GOP,,,,PO Box 935,Helena,MT,59624,,1000,2,Contribution to Montana GOP Red Victory Campaign,,GN,,,,N,,,,,,,,,
Jefferson County Republican Central Cmte.,10/01/2025 to 12/31/2025,C6,2025-12-22 0:00:00,Utmost Graphics,,,,PO BOX 9726,KALISPELL,MT,59904,,205,2,web maintenance annual fee,,GN,,,,N,,,,,,,,,
Jefferson County Republican Central Cmte.,10/01/2025 to 12/31/2025,C6,2025-12-05 0:00:00,Pro Life Montana,,,,PO Box 6924,Helena,MT,59604,,500,2,"Donation in support of the March for Life on January 16, 2026",,GN,,,,N,,,,,,,,,
Jefferson County Republican Central Cmte.,10/01/2025 to 12/31/2025,C6,2025-11-28 0:00:00,,Debbie,,Churchill,52 Ruby Mountain Rd,Clancy,MT,59634,,48.48,2,Reimbursement for Fall Festival Dinner supplies,,GN,,,,N,,,,,,,,,
Jefferson County Republican Central Cmte.,10/01/2025 to 12/31/2025,C6,2025-10-14 0:00:00,,Jane,L,Hamman,PO Box 164,Clancy,MT,59634,164,90,2,Refund of Fall Festival dinner tickets,,GN,,,,N,,,,,,,,,
Jefferson County Republican Central Cmte.,10/01/2025 to 12/31/2025,C6,2025-10-02 0:00:00,WinRed,,,,1776 Wilson Blvd. Suite 530,Arlington,VA,22209,,7.1,2,Processing fee,,GN,,,,N,,,,,,,,,
Just 1 Montanan,03/27/2026 to 04/30/2026,C6,2026-04-09 0:00:00,Go Daddy,,,,2155 E. GoDaddy Way,Tempe,AZ,85284,,3.2,2,fees for a donation to the cause.,,PM,,,,N,,,,,,,,,
Just 1 Montanan,02/13/2026 to 03/26/2026,C6,2026-03-08 0:00:00,Paypal,,,,2211 North 1st Street,San Jose,CA,95131,,0.88,2,Process fee for Donald Jacques donation,,PM,,,,N,,,,,,,,,
"Justice Committee of McGarvey, Heberling, Sullivan & Lacey P.C.",02/01/2026 to 03/25/2026,C4,2026-03-04 0:00:00,"McGarvey, Heberling, Sullivan & Lacey, PC",,,,345 1st Avenue East,Kalispell,MT,59901,,10100,2,Refund to PAC re over contribution limit.,,GN,,,,N,,,,,,,,,
"Justice Committee of McGarvey, Heberling, Sullivan & Lacey P.C.",02/01/2026 to 03/25/2026,C4,2026-03-04 0:00:00,Montana Constitution PAC,,,,P.O. Box 838,Helena,MT,59624,,9900,2,MHSL Justice Committee donation to Montana Constitution PAC,,GN,,,,N,,,,,,,,,
"Justice Committee of McGarvey, Heberling, Sullivan & Lacey P.C.",01/06/2026 to 01/31/2026,C4,2026-01-29 0:00:00,Montana Constitution PAC,,,,P.O. Box 838,Helena,MT,50624,,20000,2,Contribution to Montana Constitution PAC,,GN,,,,N,,,,,,,,,
Kids Education Yes,03/26/2026 to 04/25/2026,C6,2026-04-17 0:00:00,,Jamie,,Marshall,2801 26th St S,Great Falls,MT,59405,,25,2,Copies of KEY educational materials for community events,,GN,Printed materials,100 color copies,KEY educational materials to handout at community events,Y,,,,,,,,,
Kids Education Yes,01/01/2026 to 03/25/2026,C6,2026-03-03 0:00:00,Siteground,,,,"700 N. Fairfax St, Suite 614",Alexandria,VA,22314,,19.99,2,Annual Renewal of Domain Name for Internet Website,,GN,Website,,,N,,,,,,,,,
Kids Education Yes,01/01/2026 to 03/25/2026,C6,2026-02-18 0:00:00,,James,E,Morin,,,,,,250,2,Annual renewal of PO Box,,GN,PO box,1 box,,N,,,,,,,,,
Kids Education Yes,10/01/2025 to 12/31/2025,C6,2025-11-21 0:00:00,Siteground Hosting,,,,901 N Pitt Street Suite 325,Alesandria,VA,22314,,26.4,2,Services to renew KEY's domain name at $26.40.,,GN,Webservice through Siteground for KEY's website and domain name.,For hosting Key's domain name for 12 months.,"Informing the public via internet through KEY's website its mission, the educations status of education in Great Falls, informing educational issues, and asking the community how they can contribute donations and/or time.",N,,,,,,,,,
Kids Education Yes,10/01/2025 to 12/31/2025,C6,2025-11-19 0:00:00,Charity Proud,,,,"1535 Hobby Street, Suite 206. ",North Charleston,SC,29405,,1800,2,Services for KEY for online fundraising software.,,GN,Online fundraising software to help KEY organize and record fundraising moneys.,Renewal of yearly services.,Online fundraising software to help KEY organize and record fundraising moneys.,N,,,,,,,,,
Kids Education Yes,10/01/2025 to 12/31/2025,C6,2025-10-23 0:00:00,,Becky,,Nelson,538 Goon Hill Rd,Great Falls,MT,59405,,1522.33,2,"Becky Nelson over saw KEY's community/business luncheon on October 22.  She paid out of her own pocket, KEY is reimbursing her $1,522.33. ",,GN,"Becky used several local businesses to purchase catered food, drinks, plates, utensils, napkins, decorations. etc. for the luncheon knowing KEY would reimburse her. Becky kept all receipts.  KEY has them on file upon request if needed.","All her work hours were volunteer hours.  Only money spent was for items listed in ""platform"" for around 130 people.","Becky purchased catering services, bakery desserts, soft drinks, water, decorations, utensils, napkins, and plates for our KEY community luncheon on Oct 23.  Luncheon helped educate and inform state legislators, business persons, and other community members the education needs of Great Falls and Montana.  Especially how the high schools and colleges are helping students with mentors and apprenticeships for successful graduation.  Becky kept all receipts.  KEY has them on file upon request.",N,,,,,,,,,
Kids Education Yes,10/01/2025 to 12/31/2025,C6,2025-10-14 0:00:00,Facebook,,,,1 Hacker Way,Menlo Park,CA,94025,,53.63,2,Services by Facebook to run KEY ads to help promote KEY's community survey on Great Falls School District's current strengths and promote future.,,GN,Facebook. paid electronically.,Time it took to make ads and then algorithm to promote the ads.,"Facebook ads to promote and encourage Great Falls Community to participate in a survey about Great Falls School District's strengths, weaknesses, and to discover what the community desires for the future in the district.",N,,,,,,,,,
Lake County Democrats,03/26/2026 to 04/25/2026,C6,2026-04-23 0:00:00,Click Here Designs,,,,314 First St. E Ste. 202,Polson,MT,59860,,25,2,Website Hosting for 1 month,,PM,internet,1 month fee,,N,,,,,,,,,
Lake County Democrats,03/26/2026 to 04/25/2026,C6,2026-04-20 0:00:00,ActBlue,,,,PO Box 441146,Somerville,MA,2144,,2.5,2,processing fee for  2 merchandise purchases,,PM,internet,2 merchandise items,,N,,,,,,,,,
Lake County Democrats,03/26/2026 to 04/25/2026,C6,2026-04-08 0:00:00,ActBlue,,,,PO Box 441146,Somerville,MA,2144,,0.62,2,Processing Fees,,PM,internet,0ne time fee,,N,,,,,,,,,
Lake County Democrats,03/26/2026 to 04/25/2026,C6,2026-04-02 0:00:00,UPS Store,,,,48901 US Highway 93 Ste A,Polson,MT,59860,,49,2,"Flyers # 70 for a candidate forum:   Ryan Busse, Russell Cleveland, Sam Forstag & Matt Rains",,PM,printed flyers,70 flyers,candidate forum flyers for advertising,N,,,,,,,,,
Lake County Democrats,03/26/2026 to 04/25/2026,C6,2026-04-01 0:00:00,Salish Kootenai College,,,,P.O. Box 70,Pablo,MT,59855,,401.25,2,"rental fee for a candidate forum:  Busse, Cleveland, Forstag and Raims ",,PM,"public forum scheduled for April 16,2026",1 forum,educational,N,,,,,,,,,
Lake County Democrats,01/01/2026 to 03/25/2026,C6,2026-03-13 0:00:00,"Squarespace,Inc.",,,,"225 Varick Street, 12th floor",New York,NY,10014,,267,2,Website Subscription,,PM,internet,1 year,,N,,,,,,,,,
Lake County Democrats,01/01/2026 to 03/25/2026,C6,2026-03-13 0:00:00,"Squarespace,Inc.",,,,"225 Varick Street, 12th floor",New York,NY,10014,,49.99,2,website name registration,,PM,internet,3 year,,N,,,,,,,,,
Lake County Democrats,01/01/2026 to 03/25/2026,C6,2026-03-13 0:00:00,ActBlue,,,,PO Box 441146,Somerville,MA,2144,,0.6,2,transaction fees,,PM,internet contribution,fees per one contribution,,N,,,,,,,,,
Lake County Democrats,01/01/2026 to 03/25/2026,C6,2026-03-03 0:00:00,Click Here Design,,,,314 First Street East,Polson,MT,59860,,535,2,Website hosting,,PM,internet,1 year,,N,,,,,,,,,
Lake County Democrats,01/01/2026 to 03/25/2026,C6,2026-02-23 0:00:00,Ninepipes Lodge,,,,,Charlo,MT,,,60.5,2,Executive Committee Luncheon,,PM,in person meeting,4 people,strategy meeting,N,,,,,,,,,
Lake County Democrats,01/01/2026 to 03/25/2026,C6,2026-02-12 0:00:00,,Lisa,,lLinnenkohl,P.O> Box 973,polson,MT,59860,,295.68,2,Reimbursement for food for the thank you and good bye event for outgoing executive board members,,PM,event,30 attendees,,N,,,,,,,,,
Lake County Democrats,01/01/2026 to 03/25/2026,C6,2026-02-11 0:00:00,UPS,,,,48901 Hwy 93 Suite A,Polson,MT,59860,,30.9,2,printing of precinct maps,,PM,printed materials,22 maps,printing services,N,,,,,,,,,
Lake County Democrats,01/01/2026 to 03/25/2026,C6,2026-01-26 0:00:00,United States Postal Service,,,,105 4th Ave. E.,Polson,MT,59860,,223,2,"USPS Post Office Box renewal rental fee: one year, 2026",,GN,Physical USPS post office box for county party mail,One (1) USPS post office box rental,"USPS post office box renewal rental fee: one year, 2026",N,,,,,,,,,
Lake County Democrats,01/01/2026 to 03/25/2026,C6,2026-01-16 0:00:00,Adobe Inc.,,,,345 Park Ave.,San Jose,CA,95110,,9.99,2,adobe subscription,,PM,software,1month,,N,,,,,,,,,
Lake County Democrats,10/07/2025 to 12/31/2025,C6,2025-12-15 0:00:00,Adobe Inc.,,,,345 Park Ave.,San Jose,CA,95110,,9.99,2,Adobe Acrobat Software,,GN,Online monthly subscription for Adobe Express Acrobat Software,one month subscription service payment,Online monthly subscription for Adobe Express Acrobat Software,N,,,,,,,,,
Lake County Democrats,10/07/2025 to 12/31/2025,C6,2025-12-13 0:00:00,Fiber Yarn Shop,,,,7984 MT-35,Big Fork,MT,59911,,51.5,2,Purchase of gift certificate for retiring county party secretary S.R.,,GN,Retail store,One (1) gift certificate,Purchase of one (1) $50.00 gift certificate for retiring county party secretary S.R.,N,,,,,,,,,
Lake County Democrats,10/07/2025 to 12/31/2025,C6,2025-12-12 0:00:00,A & B Storage,,,,46644 US-93,Polson,MT,59860,,350,2,Storage unit annual rental fee,,GN,Physical storage unit for county party supplies,One rental unit,Storage unit annual rental fee,N,,,,,,,,,
Lake County Democrats,10/07/2025 to 12/31/2025,C6,2025-12-06 0:00:00,The Confident Stitch,,,,139 W. Front Street,Missoula,MT,59801,,50,2,Purchase of gift certificate for retiring county party secretary S.R.,,GN,Retail store,One (1) gift certificate,Gift certificate to thank retiring county party secretary S.R.,N,,,,,,,,,
Lake County Democrats,10/07/2025 to 12/31/2025,C6,2025-11-20 0:00:00,Polson Chamber of Commerce,,,,402 First St. E. Ste. 102,Polson,MT,59860,,100,2,Annual Polson Chamber of Commerce membership fee,,GN,Polson Chamber of Commerce,One annual membership fee invoice,Annual Polson Chamber of Commerce membership fee,N,,,,,,,,,
Lake County Democrats,10/07/2025 to 12/31/2025,C6,2025-11-17 0:00:00,Adobe Inc.,,,,345 Park Ave.,San Jose,CA,95110,,9.99,2,Adobe Express Acrobat Software,,GN,Online subscription: adobe express acrobat software,one monthly subscription,Online subscription: Adobe Express Acrobat Software,N,,,,,,,,,
Lake County Democrats,10/07/2025 to 12/31/2025,C6,2025-10-15 0:00:00,,Linda,,Bone,121 Gallatin St.,Polson,MT,59860,,59.48,2,Reimbursement for groceries purchased for annual county party BBQ,,GN,Retail grocery purchase,Groceries purchased for annual county party BBQ,Groceries purchased for preparation of annual party BBQ,N,,,,,,,,,
Lake County Democrats,10/07/2025 to 12/31/2025,C6,2025-10-15 0:00:00,,Suzanne,,Rittenhouse,216 Pheasant Ridge,Polson,MT,59860,,369.33,2,Reimbursement for BBQ supplies,,GN,Groceries for BBQ,Grocery supplies for annual party BBQ,Grocery supplies for annual party BBQ,N,,,,,,,,,
Lake County Democrats,10/07/2025 to 12/31/2025,C6,2025-10-15 0:00:00,Adobe Inc.,,,,345 Park Ave.,San Jose,CA,95110,,9.99,2,Online Subscription: Adobe Express Acrobat software,,GN,Online business subscription,one month subscription service payment,Online subscription: Adobe Express Acrobat software,N,,,,,,,,,
Lake County Republican Central Cmte.,03/26/2026 to 04/25/2026,C6,2026-04-22 0:00:00,,Tyler,,Irwin,PO Box 595,Frenchtown,MT,59834,,750,2,Advertising and appearances with Race car promoting Lake County MT GOP,,PM,Advertising and appearances with Race car promoting Lake County MT GOP,Advertising and appearances with Race Car promoting Lake County MT GOP,Advertising and appearance with race car promoting Lake County MT GOP,N,,,,,,,,,
Lake County Republican Central Cmte.,03/26/2026 to 04/25/2026,C6,2026-04-22 0:00:00,Sign Pro,,,,D&D 32249 Cutting Horse Ln,Polson,MT,59860,,185,2,36'x120' banner for America 250 Golf Tournament & Afterparty & 50 posters,,PM,Banner and posters for advertising the America 250 golf tournament and Afterparty,"1 36""x120"" banner & 50 posters",advertising for America 250 golf tournament and Afterparty. 1 banner & 50 posters,N,,,,,,,,,
Lake County Republican Central Cmte.,03/26/2026 to 04/25/2026,C6,2026-04-15 0:00:00,Click Here Designs,,,,1st St E,Polson,MT,59860,,285,2,Website maintenance fee - updates for America 250 and Voter cards,,PM,Republican website,3 hours,website maintenance for voter guide and America 250 golf tournament and Afterparty,N,,,,,,,,,
Lake County Republican Central Cmte.,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,USPO,,,,1st St E,Polson,MT,59860,,15.6,2,book of stamps,,PM,book of stamps,1 book of stamps,1 book of stamps,N,,,,,,,,,
Lake County Republican Central Cmte.,03/26/2026 to 04/25/2026,C6,2026-04-01 0:00:00,Click Here Designs,,,,1st St E,Polson,MT,59860,,152.13,2,Quarterly fee for website mailboxes,,PM,website,Quarterly website fee for mailboxes,"Quarterly website fee for mailboxes, maintenance",N,,,,,,,,,
Lake County Republican Central Cmte.,03/26/2026 to 04/25/2026,C6,2026-04-01 0:00:00,Submittable,,,,97Wyoming St #102,Missoula,MT,59801,,10,2,Debit Card Fee,,PM,debit card fee,debit card fee,debit card fee,N,,,,,,,,,
Lake County Republican Central Cmte.,01/01/2026 to 03/25/2026,C6,2026-03-10 0:00:00,Zach Wirth Campaign,,,,2020 Cavallier Dr,Wolf Creek,MT,95648,,500,2,Contribution to Senate District 10 Zach Wirth,,PM,contribution to Senate District 10 Zach Wirth,Contribution to Senate District 10 Zach Wirth,Contribution to Senate District 10 Zach Wirth,N,,,,,,,,,
Lake County Republican Central Cmte.,01/01/2026 to 03/25/2026,C6,2026-03-10 0:00:00,,Marcia,A,Amrine,P.O. Box 223,St Ignatius,MT,59865,,200,2,Reimbursement for theatre rental for Melania movie,,PM,Polson Theatre,reimbursement for Polson Theatre,reimbursement for Polson Theatre rental for Melania Movie,N,,,,,,,,,
Lake County Republican Central Cmte.,01/01/2026 to 03/25/2026,C6,2026-03-04 0:00:00,,Micah,,Robertson,705 Fifth Ave SW,Ronan,MT,59864,,128.97,2,Reimbursement for Proton email account annual charges,,PM,on line,yearly charge,reimbursement for yearly charge for Proton email services,N,,,,,,,,,
Lake County Republican Central Cmte.,01/01/2026 to 03/25/2026,C6,2026-01-29 0:00:00,Quicken,,,,3760 Haven Ave,Menlo Park,CA,94025,,101.76,2,yearly charge for Quicken software to manage Treasury,,PM,on line,yearly charge for Quicken,Yearly charge for Quicken to manage bank account for Treasury,N,,,,,,,,,
Lake County Republican Central Cmte.,01/01/2026 to 03/25/2026,C6,2026-01-22 0:00:00,Click Here Designs,,,,1st St E,Polson,MT,59860,,75.75,2,Quarterly charge for webmaster,,PM,website for Lake County Mt republicans,Quarterly charge for website,Quarterly charge for webmaster to maintain Lakecountymtrepublicans.com,N,,,,,,,,,
Lake County Republican Central Cmte.,10/01/2025 to 12/31/2025,C6,2025-12-05 0:00:00,,Pro Life Montana,,Pro Life Montana,PO Box 6924,Helena,MT,59604,,200,2,Donation for March on the capital,,PM,donation for March on the capital,one time donation for March on the capital,one time donation for signs for the March on the Capital,N,,,,,,,,,
Lake County Republican Central Cmte.,10/01/2025 to 12/31/2025,C6,2025-11-04 0:00:00,,Faith,,Dawson,PO Box 954,Polson,MT,59860,,8.89,2,Facebook services,,PM,facebook,Facebook services,merging to facebook accounts for Lake county MT Republicans,N,,,,,,,,,
Lake County Republican Central Cmte.,10/01/2025 to 12/31/2025,C6,2025-11-03 0:00:00,Click Here Designs,,,,1st St E,Polson,MT,59860,,221.43,2,Website Services.,,PM,website service for Q4,website services for Q4,"website services , email boxes, maintenance",N,,,,,,,,,
Lake County Republican Womens Club,03/26/2026 to 04/25/2026,C6,2026-04-22 0:00:00,,Tyler,,Irwin,PO Box 595,Frenchtown,MT,59834,,1500,2,Advertising costs for Cherry Festival For MT GOP,,PM,"Banners and special appearances at events in Polson sponsoring Lake County, MT GOP",BAnner on Race Car and special appearances at events in Polson sponsoring Lake County MT GOP,Banner on Racecar with Lake County MT GOP. Several appearances at events in POLSON.,N,,,,,,,,,
Lake County Republican Womens Club,03/26/2026 to 04/25/2026,C6,2026-04-15 0:00:00,,Barb,,Blum,PO Box 393,Lakeside,MT,59922,,220,2,Dues for Montana Federation of Republican Women,,PM,Dues for MTFRW,Dues paid for MT Federation of REpublican Women,Dues paid for MT Federation of Republican Women,N,,,,,,,,,
Lake County Republican Womens Club,01/01/2026 to 03/25/2026,C6,2026-03-10 0:00:00,USPO,,,,116 1st Ave,Polson,MT,59860,,196,2,Yearly Fee for PO Box,,PM,yearly fee for po box,yearly fee for po box,yearly fee for po box,N,,,,,,,,,
Lake County Republican Womens Club,01/01/2026 to 03/25/2026,C6,2026-02-02 0:00:00,,Kathy,,Shore,509 5th Ave E,Polson,MT,59860,,343.5,2,reimbursement for printing signs and getting flags,,PM,in person,60 flags and printing for Melania movie,flags and printing costs,N,,,,,,,,,
Lake County Republican Womens Club,01/01/2026 to 03/25/2026,C6,2026-01-20 0:00:00,Montana Federation of Republican Women,,,,PO Box 393,Lakeside,MT,59922,,495,2,Dues for MFRW,,PM,mailed payment,18 members X $27.50,Yearly dues to MFRW,N,,,,,,,,,
Lake County Republican Womens Club,10/01/2025 to 12/31/2025,C6,2025-11-03 0:00:00,Mission Valley Christian school,,,,38907 WWJD Ln,Polson,MT,59860,,300,2,Donation to the School.,,PM,Donation to the school,donation to the school,donation to the school,N,,,,,,,,,
Lake County Republican Womens Club,10/01/2025 to 12/31/2025,C6,2025-10-14 0:00:00,,Kathy,J,Shore,509 5th Ave E,Polson,MT,59860,,80,2,Charlie Kirk posters for memorial,,PM,posters for Charlie Kirk memorial,30 posters,30 posters for Charlie Kirk memorial,N,,,,,,,,,
Landowners for Montana PAC,04/26/2026 to 05/24/2026,C6,2026-05-22 0:00:00,Anedot,,,,1340 Poydras Street Suite 1770,New Orleans,LA,70112,,11.4,2,Credit card processing fees.,,PM,,,,N,,,,,,,,,
Landowners for Montana PAC,04/26/2026 to 05/24/2026,C6,2026-05-04 0:00:00,Standard Consulting LLC,,,,1820 N Last Chance Gulch,Helena,MT,59601,,249,2,Reimbursement for software purchase.,,PM,,,,N,,,,,,,,,
Landowners for Montana PAC,03/26/2026 to 04/25/2026,C6,2026-04-20 0:00:00,Ler for House,,,,11313 CR 338,Savage,MT,59262,,470,2,Contribution,,PM,,,,N,,,,,,,,,
Landowners for Montana PAC,03/26/2026 to 04/25/2026,C6,2026-04-16 0:00:00,Talia for Senate,,,,PO Box 335,Helena,MT,59624,,250,2,Contrbution,,PM,,,,N,,,,,,,,,
Landowners for Montana PAC,03/26/2026 to 04/25/2026,C6,2026-04-15 0:00:00,Usher for Senate,,,,PO Box 80086,Billings,MT,59108,,470,2,Contribution,,PM,,,,N,,,,,,,,,
Landowners for Montana PAC,10/01/2025 to 12/31/2025,C6,2025-12-05 0:00:00,Montana Group,,,,1820 N Last Chance Gulch,Helena,MT,59601,,240,2,Web Hosting fees,,GN,,,,N,,,,,,,,,
Last Best Voice PAC,04/26/2026 to 05/24/2026,C6,2026-05-14 0:00:00,Narrator Creative Consulting,,,,1008 Saint Johns Ave,Billings,MT,5999991,,1000,2,Consulting,,GN,,,"PR, writing & consulting services for May",N,,,,,,,,,
Last Best Voice PAC,04/26/2026 to 05/24/2026,C6,2026-05-14 0:00:00,Constant Contact,,,,"890 Winter St, Suite 300",Waltham,MA,2451,,801,2,"Constant Contact, Inc marketing services ",,GN,Constant Contact,,,N,,,,,,,,,
Last Best Voice PAC,04/26/2026 to 05/24/2026,C6,2026-05-05 0:00:00,"Sum Bookkeeper, LLC",,,,100 24th Street West #1-2409,Billings,MT,59102,,210.58,2,April Bookkeeping,,GN,,,April bookkeeping,N,,,,,,,,,
Last Best Voice PAC,03/26/2026 to 04/25/2026,C6,2026-04-15 0:00:00,Narrator Creative Consulting,,,,1008 Saint Johns Ave,Billings,MT,5999991,,1000,2,Consulting,,GN,,,"PR, writing & consulting services for April",N,,,,,,,,,
Last Best Voice PAC,03/26/2026 to 04/25/2026,C6,2026-04-03 0:00:00,"Sum Bookkeeper, LLC",,,,100 24th Street West #1-2409,Billings,MT,59102,,175,2,March bookkeeping,,GN,,,March bookkeeping,N,,,,,,,,,
Last Best Voice PAC,01/01/2026 to 03/25/2026,C6,2026-03-18 0:00:00,Narrator Creative Consulting,,,,1008 Saint Johns Ave,Billings,MT,59102,,1000,2,Consulting,,GN,,MARCH,"PR, writing & consulting services for March 2026",Y,,,,,,,,,
Last Best Voice PAC,01/01/2026 to 03/25/2026,C6,2026-02-18 0:00:00,Narrator Creative Consulting,,,,1008 Saint Johns Ave,Billings,MT,59102,,1000,2,Consulting,,GN,,FEBRUARY,"PR, writing & consulting services for FEB 2026",Y,,,,,,,,,
Last Best Voice PAC,01/01/2026 to 03/25/2026,C6,2026-02-11 0:00:00,Purple Snow Promotional,,,,PO Box 80521,Billings,MT,59108,,1329.69,2,table throws for table events,,GN,,,table throws for table events,Y,,,,,,,,,
Last Best Voice PAC,01/01/2026 to 03/25/2026,C6,2026-02-04 0:00:00,"Sum Bookkeeper, LLC",,,,100 24th Street West #1-2409,Billings,MT,59102,,144.5,2,Bookkeeping services,,GN,QUICKBOOKS,FEBRUARY,BOOKKEEPING SERVICES,Y,,,,,,,,,
Last Best Voice PAC,01/01/2026 to 03/25/2026,C6,2026-01-28 0:00:00,Constant Contact,,,,"890 Winter St, Suite 300",Waltham,MA,2451,,495,2,digital marketing,,GN,CONSTANT CONTACT,6 MONTHS,DIGITAL MARKETING PLATFORM JAN-JUNE 2026,Y,,,,,,,,,
Last Best Voice PAC,01/01/2026 to 03/25/2026,C6,2026-01-21 0:00:00,Anedot,,,,1340 Poydras St #1770,New Orleans,LA,70112,,4.48,2,Processing fees,,GN,ANEDOT,1 DONATION,PROCESSING FEE,N,,,,,,,,,
